Lines,Words,Characters,File
83   ,261  ,3467,AxE_Min_Amend_Approvers_Bypass_Approver.xml
153   ,478  ,6066,AxE_Min_Amend_Approvers_Get_Approver_List.xml
115   ,393  ,5099,AxE_Min_Amend_Approvers_Set_New_Approver_Sequence.xml
122   ,313  ,4662,AxE_Min_Cancel_Ministerial_Process_Workslip.xml
34    ,75   ,921,AxE_Min_Clear_Responder.xml
79   ,238  ,3277,AxE_Min_Close_Item_Get_Closed_Slips.xml
157   ,442  ,6181,Axe_Min_Close_Ministerial.xml
55   ,155  ,1975,AxE_Min_Confirm_Acknowledgement_Required.xml
67   ,186  ,2833,AxE_Min_Create_Documents_From_Templates.xml
212   ,578  ,9051,AxE_Min_Create_File_and_Documents_Collaboration_Slip.xml
492  ,1602 ,24204,AxE_Min_Create_File_and_Documents.xml
19    ,47   ,718,AxE_Min_Due_Date_Arm_Alarm.xml
18    ,31   ,490,AxE_Min_Ext_Email_Extension_Denied.xml
110   ,390  ,5290,AxE_Min_Ext_Get_Due_Dates.xml
148   ,303  ,4463,AxE_Min_Ext_Update_Approved_Due_Dates.xml
90   ,195  ,3160,AxE_Min_Finalise_Collaboration_Slip.xml
70   ,178  ,2590,AxE_Min_Finalise_Ministerial.xml
27    ,62   ,908,AxE_Min_Finalise_Records.xml
229   ,748  ,9233,AxE_Min_Initialise_Allocator.xml
73   ,218  ,2816,AxE_Min_Initialise_Approvers.xml
63   ,158  ,2415,AxE_Min_Initialise_General_Correspondence.xml
171   ,486  ,7801,AXE_Min_Initialise_Update_Catalogue_Data.xml
233   ,749 ,11059,AxE_Min_Initiate_Collaboration_Slips.xml
208   ,658 ,10033,AxE_Min_Initiate_Due_Date_Notification.xml
402  ,1031 ,15683,AxE_Min_Link_Process.xml
26    ,70  ,1319,AxE_Min_Process_Update_Catalogue_Data.xml
163   ,475  ,6726,AxE_Min_Recall_Ministerial_Workflow.xml
45   ,100  ,1560,AxE_Min_RenderPDF_And_Finalise_Slip.xml
16    ,60   ,841,AxE_Min_Set_Approver.xml
64   ,208  ,2454,AxE_Min_Set_Dispatch_and_Acknowledgement_Officers.xml
41   ,115  ,1481,AxE_Min_Set_Final_Approver.xml
163   ,323  ,5966,AxE_Min_Set_Mandatory_Fields_On_Templates.xml
55   ,116  ,1870,AxE_Min_Set_Next_Approver.xml
53   ,113  ,2466,AxE_Min_Set_Previous_Approver.xml
47   ,107  ,1420,AxE_Min_Split_Response_Type.xml
18    ,76  ,1178,AxE_Min_Transient_Due_Date_Alarm_References.xml
50   ,161  ,2055,AxE_Min_Transient_Due_Date_Arm_Alarm_Actions.xml
15    ,36   ,491,AxE_Min_Transient_Finalise_CM_Attachments.xml
33    ,62  ,1011,AxE_Min_Transient_Finalise_CM_Case_Record.xml
17    ,46   ,689,AxE_Min_Transient_Get_Reference_From_CM_Record_Number.xml
106   ,245  ,4012,AxE_Min_Transient_Locate_Create_Ministerial_Parent_Container.xml
63   ,222  ,2476,AxE_Min_Transient_Update_Due_Dates_From_Owner.xml
20    ,49   ,547,AxE_Min_Transient_Update_Stage.xml
159   ,485  ,6859,AxE_Min_Update_Allocator.xml
148   ,423  ,5568,AxE_Min_Update_Dispatch.xml
28    ,81   ,908,AxE_Min_Update_Reassign_To.xml
137   ,415  ,4997,AxE_Min_Update_Responder.xml
17    ,74   ,938,AxE_Min_Workslip_Amendment_Notification_Set_Recipients.xml
23    ,48   ,870,AxE_Util_Wait_X_Minutes.xml
